cphhhbh,产品类别,产品名称/通用名称,设备记录主键,规格型号,商品名称,单价,使用单元产品标识,医保编码,医疗器械注册人/备案人名称,医疗器械注册人/备案人英文名称,注册证编号或者备案凭证编号,最小销售单元产品标识
SY60WF.100,耗材,人工晶状体,00380652251280202210210246488,SY60WF +10D,,,,C08010115104003096020000270,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251280
SY60WF.105,耗材,人工晶状体,00380652251297202210210246489,SY60WF +10.5D,,,,C08010115104003096020000284,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251297
SY60WF.110,耗材,人工晶状体,003806522513032022102102464810,SY60WF +11D,,,,C08010115104003096020000260,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251303
SY60WF.115,耗材,人工晶状体,003806522513102022102102464811,SY60WF +11.5D,,,,C08010115104003096020000290,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251310
SY60WF.120,耗材,人工晶状体,003806522513272022102102464812,SY60WF +12D,,,,C08010115104003096020000257,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251327
SY60WF.125,耗材,人工晶状体,003806522513342022102102464813,SY60WF +12.5D,,,,C08010115104003096020000267,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251334
SY60WF.130,耗材,人工晶状体,003806522513412022102102464814,SY60WF +13D,,,,C08010115104003096020000252,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251341
SY60WF.135,耗材,人工晶状体,003806522513582022102102464815,SY60WF +13.5D,,,,C08010115104003096020000277,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251358
SY60WF.140,耗材,人工晶状体,003806522513652022102102464816,SY60WF +14D,,,,C08010115104003096020000255,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251365
SY60WF.145,耗材,人工晶状体,003806522513722022102102464817,SY60WF +14.5D,,,,C08010115104003096020000249,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251372
SY60WF.150,耗材,人工晶状体,003806522513892022102102464818,SY60WF +15D,,,,C08010115104003096020000285,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251389
SY60WF.155,耗材,人工晶状体,003806522513962022102102464819,SY60WF +15.5D,,,,C08010115104003096020000274,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251396
SY60WF.160,耗材,人工晶状体,003806522514022022102102464820,SY60WF +16D,,,,C08010115104003096020000254,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251402
SY60WF.165,耗材,人工晶状体,003806522514192022102102464821,SY60WF +16.5D,,,,C08010115104003096020000248,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251419
SY60WF.170,耗材,人工晶状体,003806522514262022102102464822,SY60WF +17D,,,,C08010115104003096020000281,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251426
SY60WF.175,耗材,人工晶状体,003806522514332022102102464823,SY60WF +17.5D,,,,C08010115104003096020000289,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251433
SY60WF.180,耗材,人工晶状体,003806522514402022102102464824,SY60WF +18D,,,,C08010115104003096020000282,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251440
SY60WF.185,耗材,人工晶状体,003806522514572022102102464825,SY60WF +18.5D,,,,C08010115104003096020000268,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251457
SY60WF.190,耗材,人工晶状体,003806522514642022102102464826,SY60WF +19D,,,,C08010115104003096020000256,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251464
SY60WF.195,耗材,人工晶状体,003806522514712022102102464827,SY60WF +19.5D,,,,C08010115104003096020000283,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251471
SY60WF.200,耗材,人工晶状体,003806522514882022102102464828,SY60WF +20D,,,,C08010115104003096020000265,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251488
SY60WF.205,耗材,人工晶状体,003806522514952022102102464829,SY60WF +20.5D,,,,C08010115104003096020000286,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251495
SY60WF.210,耗材,人工晶状体,003806522515012022102102464830,SY60WF +21D,,,,C08010115104003096020000288,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251501
SY60WF.215,耗材,人工晶状体,003806522515182022102102464831,SY60WF +21.5D,,,,C08010115104003096020000250,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251518
SY60WF.220,耗材,人工晶状体,003806522515252022102102464832,SY60WF +22D,,,,C08010115104003096020000263,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251525
SY60WF.225,耗材,人工晶状体,003806522515322022102102464833,SY60WF +22.5D,,,,C08010115104003096020000262,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251532
SY60WF.230,耗材,人工晶状体,003806522515492022102102464834,SY60WF +23D,,,,C08010115104003096020000278,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251549
SY60WF.235,耗材,人工晶状体,003806522515562022102102464835,SY60WF +23.5D,,,,C08010115104003096020000280,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251556
SY60WF.240,耗材,人工晶状体,003806522515632022102102464836,SY60WF +24D,,,,C08010115104003096020000259,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251563
SY60WF.245,耗材,人工晶状体,003806522515702022102102464837,SY60WF +24.5D,,,,C08010115104003096020000246,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251570
SY60WF.250,耗材,人工晶状体,003806522515872022102102464838,SY60WF +25D,,,,C08010115104003096020000261,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251587
SY60WF.255,耗材,人工晶状体,003806522515942022102102464839,SY60WF +25.5D,,,,C08010115104003096020000292,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251594
SY60WF.260,耗材,人工晶状体,003806522516002022102102464840,SY60WF +26D,,,,C08010115104003096020000276,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251600
SY60WF.265,耗材,人工晶状体,003806522516172022102102464841,SY60WF +26.5D,,,,C08010115104003096020000287,美国爱尔康公司,"Alcon Laboratories, Incorporated",国械注进20223160019,00380652251617
