cphhhbh,产品类别,产品名称/通用名称,设备记录主键,规格型号,商品名称,单价,使用单元产品标识,医保编码,医疗器械注册人/备案人名称,医疗器械注册人/备案人英文名称,注册证编号或者备案凭证编号,最小销售单元产品标识
100024772,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654478320220414012351138,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544783
100024773,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654479020220414012351139,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544790
100024774,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654480620220414012351140,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544806
100024775,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654481320220414012351141,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544813
100024776,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654482020220414012351142,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544820
100024777,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654483720220414012351143,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544837
100024980,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654484420220414012351144,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544844
100024981,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654485120220414012351145,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544851
100024982,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654486820220414012351146,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544868
100024983,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654487520220414012351147,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544875
100024984,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654488220220414012351148,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544882
100024985,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654489920220414012351149,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544899
100024986,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654490520220414012351150,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544905
100025038,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654491220220414012351151,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544912
100025039,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654492920220414012351152,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544929
100025040,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654493620220414012351153,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544936
100025041,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654494320220414012351154,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544943
100025042,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654495020220414012351155,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544950
100025043,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654496720220414012351156,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544967
100025080,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654497420220414012351157,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544974
100025287,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654498120220414012351158,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544981
100025288,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654499820220414012351159,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566544998
100025289,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654500120220414012351160,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545001
100023538,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654537720220414012351161,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545377
100023539,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654538420220414012351162,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545384
100023540,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654539120220414012351163,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545391
100024661,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654540720220414012351164,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545407
100024662,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654541420220414012351165,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545414
100024663,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654542120220414012351166,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545421
100025191,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654543820220414012351167,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545438
100025192,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654544520220414012351168,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545445
100025193,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654545220220414012351169,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545452
100025194,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654546920220414012351170,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545469
100025195,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654547620220414012351171,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545476
100025196,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654548320220414012351172,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545483
100025197,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654549020220414012351173,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545490
100025198,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654550620220414012351174,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545506
100025199,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654551320220414012351175,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545513
100025200,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654552020220414012351176,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545520
100024388,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654553720220414012351177,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545537
100024389,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654554420220414012351178,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545544
100024390,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654555120220414012351179,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545551
100024391,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654556820220414012351180,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545568
100023646,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654557520220414012351181,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545575
100023647,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654558220220414012351182,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545582
100023648,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654559920220414012351183,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545599
100023649,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654560520220414012351184,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545605
100023650,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654561220220414012351185,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545612
100023890,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654598820220414012351186,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545988
100023891,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654599520220414012351187,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566545995
100023892,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654600820220414012351188,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546008
100023893,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654601520220414012351189,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546015
100023894,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654602220220414012351190,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546022
100023895,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654603920220414012351191,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546039
100023896,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654604620220414012351192,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546046
100023897,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654605320220414012351193,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546053
100024155,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654606020220414012351194,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546060
100024156,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654607720220414012351195,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546077
100024157,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654608420220414012351196,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546084
100023641,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654609120220414012351197,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546091
100023642,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654610720220414012351198,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546107
100023643,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654611420220414012351199,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546114
100023695,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654612120220414012351200,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546121
100023696,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654613820220414012351201,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546138
100023697,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654614520220414012351202,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546145
100023698,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654615220220414012351203,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546152
100023699,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654616920220414012351204,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546169
100023700,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654617620220414012351205,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546176
100023701,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654618320220414012351206,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546183
100023702,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654619020220414012351207,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546190
100023703,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654620620220414012351208,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546206
100023909,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654621320220414012351209,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546213
100024515,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654622020220414012351210,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546220
100024516,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654624420220414012351211,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546244
100024517,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654626820220414012351212,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546268
100024518,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654628220220414012351213,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546282
100024519,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654630520220414012351214,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546305
100024520,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654631220220414012351215,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546312
100024521,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654632920220414012351216,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546329
100024313,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654659620220414012351217,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546596
100024314,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654660220220414012351218,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546602
100024315,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654661920220414012351219,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546619
100024316,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654662620220414012351220,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546626
100024317,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654663320220414012351221,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546633
100024318,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654664020220414012351222,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546640
100024127,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654665720220414012351223,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546657
100024128,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654666420220414012351224,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546664
100024129,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654667120220414012351225,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546671
100024130,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654668820220414012351226,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546688
100024131,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654669520220414012351227,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546695
100024132,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654670120220414012351228,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546701
100024133,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654671820220414012351229,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546718
100024134,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654672520220414012351230,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546725
100024135,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654673220220414012351231,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546732
100024136,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654674920220414012351232,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546749
100024188,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654675620220414012351233,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546756
100024189,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654676320220414012351234,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546763
100024190,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654677020220414012351235,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546770
100023420,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654678720220414012351236,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546787
100022555,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654679420220414012351237,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546794
100022607,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654680020220414012351238,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546800
100022608,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654681720220414012351239,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546817
100022609,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654682420220414012351240,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546824
100022610,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654683120220414012351241,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546831
100022611,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654685520220414012351242,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546855
100022612,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654687920220414012351243,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546879
100022613,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654689320220414012351244,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546893
100022614,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654691620220414012351245,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546916
100022615,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654692320220414012351246,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546923
100022616,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654693020220414012351247,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566546930
100024233,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654720320220414012351248,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547203
100023768,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654721020220414012351249,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547210
100023769,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654722720220414012351250,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547227
100023770,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654723420220414012351251,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547234
100023771,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654724120220414012351252,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547241
100023978,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654725820220414012351253,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547258
100023979,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654726520220414012351254,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547265
100023980,耗材,软性亲水接触镜 Air Optix for Astigmatism Soft Contact Lenses,0084656654727220220414012351255,无,,,,,美国爱尔康公司,"Alcon Laboratories, Inc.","国食药监械（进）字2014第3224699号,国械注进20193161608",00846566547272
